City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ancud,CL,2022-01-19 05:59:12,-41.8697,-73.8203,53.13,69,8,2.59
68,Porto Novo,BJ,2022-01-19 05:59:12,6.4965,2.6036,76.82,64,95,5.57
69,Berlevag,NO,2022-01-19 05:59:13,70.8578,29.0864,34.74,78,100,17.94
70,Severo-Kurilsk,RU,2022-01-19 05:59:14,50.6789,156.125,29.34,81,100,7.11
71,Muktsar,IN,2022-01-19 05:59:14,30.4833,74.5167,67.39,27,100,5.01
72,New Norfolk,AU,2022-01-19 05:59:14,-42.7826,147.0587,67.91,44,51,3.0
73,Madang,PG,2022-01-19 05:59:15,-5.2246,145.7966,85.87,70,100,6.24
74,Kingman,US,2022-01-19 05:59:15,35.1894,-114.053,46.78,83,33,3.53
75,Karaj,IR,2022-01-19 05:54:45,35.8355,51.0103,30.72,50,0,13.8
76,Rembang,ID,2022-01-19 05:59:16,-6.707,111.3498,84.4,73,89,12.33
77,Kavieng,PG,2022-01-19 05:59:16,-2.5744,150.7967,79.57,89,100,18.37
78,Qaanaaq,GL,2022-01-19 05:59:17,77.484,-69.3632,-6.32,61,41,9.71
79,Sur,OM,2022-01-19 05:59:17,22.5667,59.5289,76.86,62,20,2.77
80,Narsaq,GL,2022-01-19 05:59:18,60.9167,-46.05,28.98,88,100,11.12
81,La Palma,US,2022-01-19 05:59:18,33.8464,-118.0467,60.35,88,40,0.0
82,College,US,2022-01-19 05:55:40,64.8569,-147.8028,7.9,81,100,0.0
83,Monaghan,IE,2022-01-19 05:59:19,54.25,-6.9667,46.38,89,83,12.44
84,Basoko,CD,2022-01-19 05:59:19,1.2391,23.616,72.81,79,80,2.89
85,Mazagao,BR,2022-01-19 05:59:20,-0.115,-51.2894,80.65,97,100,1.7
86,Vaini,TO,2022-01-19 05:59:20,-21.2,-175.2,81.3,85,18,20.98
87,Banyo,CM,2022-01-19 05:59:20,6.75,11.8167,60.28,40,35,3.13
88,Cabedelo,BR,2022-01-19 05:59:21,-6.9811,-34.8339,75.87,67,4,9.17
89,Erenhot,CN,2022-01-19 05:59:21,43.6475,111.9767,12.74,60,60,12.66
90,Gbadolite,CD,2022-01-19 05:59:22,4.2833,21.0167,72.77,29,14,2.86
91,Mayumba,GA,2022-01-19 05:59:22,-3.432,10.6554,75.54,89,79,4.27
92,Hilo,US,2022-01-19 05:59:23,19.7297,-155.09,71.62,96,63,3.0
93,Hermanus,ZA,2022-01-19 05:59:23,-34.4187,19.2345,62.91,68,12,4.29
94,Meulaboh,ID,2022-01-19 06:00:25,4.1363,96.1285,81.07,75,96,4.47
95,Bathsheba,BB,2022-01-19 06:00:26,13.2167,-59.5167,76.44,74,3,14.7
96,Bredasdorp,ZA,2022-01-19 06:00:29,-34.5322,20.0403,62.28,62,8,2.21
97,Biu,NG,2022-01-19 06:00:30,10.6129,12.1946,55.56,40,96,11.52
98,Hurghada,EG,2022-01-19 06:00:32,27.2574,33.8129,53.1,42,0,12.12
99,Butaritari,KI,2022-01-19 06:00:33,3.0707,172.7902,82.0,81,17,17.98
100,Mount Gambier,AU,2022-01-19 05:57:45,-37.8333,140.7667,84.11,34,4,21.85
101,Tuktoyaktuk,CA,2022-01-19 06:00:34,69.4541,-133.0374,-12.28,94,100,5.61
102,Santa Cecilia,BR,2022-01-19 06:00:35,-26.9608,-50.4269,60.82,93,56,2.51
103,Quatre Cocos,MU,2022-01-19 06:00:36,-20.2078,57.7625,86.09,72,79,7.02
104,Tiznit,MA,2022-01-19 06:00:36,29.5833,-9.5,50.09,42,65,8.37
105,Shenjiamen,CN,2022-01-19 06:00:37,29.9576,122.298,52.03,67,0,1.23
106,Lagoa,PT,2022-01-19 06:00:37,39.05,-27.9833,61.32,87,84,29.26
107,Atbasar,KZ,2022-01-19 06:00:38,51.8,68.3333,0.68,100,100,3.49
108,Torbat-E Jam,IR,2022-01-19 06:00:38,35.244,60.6225,40.55,54,0,4.94
109,Dunedin,NZ,2022-01-19 05:59:20,-45.8742,170.5036,55.8,95,100,5.01
110,Verkhnevilyuysk,RU,2022-01-19 06:00:39,63.4453,120.3167,-9.04,88,100,5.61
111,Adrar,MR,2022-01-19 06:00:40,20.5022,-10.0711,57.96,18,37,10.51
112,Thompson,CA,2022-01-19 06:00:12,55.7435,-97.8558,-17.81,91,57,9.46
113,Varhaug,NO,2022-01-19 06:00:41,58.6147,5.6457,44.85,94,100,20.09
114,Saint George,US,2022-01-19 05:57:42,37.1041,-113.5841,46.54,65,55,2.37
115,Altay,CN,2022-01-19 06:00:41,47.8667,88.1167,27.59,79,55,1.63
116,Anadyr,RU,2022-01-19 06:00:42,64.75,177.4833,-25.1,75,0,6.71
